iteration,windtexter,application,total_cost,probability_type,probability_cost
0,Full,commercial,3.04,interception_cost,0.44
0,Baseline,millitary,171.43,interception_cost,3.43
0,Full,millitary,5.67,interception_cost,1.14
1,Partial,commercial,168.0,interception_cost,84.0
1,Full,commercial,168.0,interception_cost,28.0
1,Full,government,5.14,interception_cost,0.75
1,Partial,millitary,336.0,interception_cost,168.0
1,Full,millitary,336.0,interception_cost,1.0
2,Baseline,private,14.06,interception_cost,0.86
2,Full,private,1.72,interception_cost,14.0
2,Baseline,government,315.0,interception_cost,9.0
2,Baseline,millitary,410.67,interception_cost,2.67
2,Partial,millitary,220.8,interception_cost,168.0
3,Full,commercial,7.5,interception_cost,2.0
3,Baseline,government,41.6,interception_cost,2.0
3,Full,millitary,170.67,interception_cost,0.89
4,Partial,private,13.95,interception_cost,0.75
4,Baseline,commercial,433.33,interception_cost,1.33
4,Full,commercial,3.04,interception_cost,0.5
4,Partial,millitary,55.47,interception_cost,2.67
5,Full,commercial,90.0,interception_cost,8.8
5,Baseline,millitary,55.47,interception_cost,2.67
6,Full,government,11.0,interception_cost,0.75
7,Baseline,private,45.0,interception_cost,3.0
7,Baseline,government,650.25,interception_cost,2.25
7,Partial,government,42.17,interception_cost,2.57
8,Baseline,commercial,458.4,interception_cost,432.0
8,Full,commercial,7.33,interception_cost,28.0
8,Baseline,government,308.25,interception_cost,2.25
8,Baseline,millitary,411.0,interception_cost,3.0
9,Baseline,private,42.75,interception_cost,0.75
9,Baseline,commercial,52.8,interception_cost,26.4
9,Full,commercial,3.04,interception_cost,28.0
9,Partial,government,41.6,interception_cost,2.0
9,Baseline,millitary,1032.0,interception_cost,864.0
10,Partial,private,84.0,interception_cost,42.0
10,Baseline,commercial,90.0,interception_cost,6.0
11,Baseline,private,13.95,interception_cost,0.75
11,Partial,commercial,168.0,interception_cost,84.0
11,Baseline,millitary,420.0,interception_cost,12.0
12,Partial,private,42.86,interception_cost,0.86
12,Partial,commercial,27.9,interception_cost,1.5
12,Full,government,4.57,interception_cost,0.86
12,Baseline,millitary,105.6,interception_cost,52.8
12,Full,millitary,6.43,interception_cost,56.0
13,Baseline,millitary,105.6,interception_cost,52.8
13,Partial,millitary,170.67,interception_cost,2.67
14,Full,commercial,85.33,interception_cost,0.5
14,Partial,millitary,56.23,interception_cost,3.43
15,Full,private,42.86,interception_cost,0.29
15,Baseline,commercial,458.4,interception_cost,432.0
15,Baseline,government,79.2,interception_cost,39.6
16,Baseline,private,102.86,interception_cost,0.86
16,Full,private,1.72,interception_cost,0.29
16,Full,government,4.82,interception_cost,0.86
