Value,attempts,intercepted,susceptible,secure
0.51,0,0,0.51,0
0.53,1,0,0.53,0
0.53,2,0,0.53,0
0.36,3,0,0,0.36
0.42,4,0,0,0.42
0.46,5,0,0,0.46
0.52,6,0,0.52,0
0.41,7,0,0,0.41
0.48,8,0,0,0.48
0.42,9,0,0,0.42
0.39,10,0,0,0.39
0.54,11,0,0.54,0
0.49,12,0,0,0.49
0.54,13,0,0.54,0
0.59,14,0,0.59,0
0.52,15,0,0.52,0
0.46,16,0,0,0.46
0.45,17,0,0,0.45
0.48,18,0,0,0.48
0.57,19,0,0.57,0
0.52,20,0,0.52,0
0.58,21,0,0.58,0
0.48,22,0,0,0.48
0.49,23,0,0,0.49
0.43,24,0,0,0.43
0.5,25,0,0.5,0
0.45,26,0,0,0.45
0.49,27,0,0,0.49
0.59,28,0,0.59,0
0.47,29,0,0,0.47
0.48,30,0,0,0.48
0.47,31,0,0,0.47
0.52,32,0,0.52,0
0.51,33,0,0.51,0
0.49,34,0,0,0.49
0.53,35,0,0.53,0
0.41,36,0,0,0.41
0.51,37,0,0.51,0
0.59,38,0,0.59,0
0.41,39,0,0,0.41
0.56,40,0,0.56,0
0.51,41,0,0.51,0
0.46,42,0,0,0.46
0.54,43,0,0.54,0
0.62,44,0,0.62,0
0.46,45,0,0,0.46
0.47,46,0,0,0.47
0.52,47,0,0.52,0
0.58,48,0,0.58,0
0.45,49,0,0,0.45
0.48,50,0,0,0.48
0.49,51,0,0,0.49
0.45,52,0,0,0.45
0.54,53,0,0.54,0
0.49,54,0,0,0.49
0.48,55,0,0,0.48
0.49,56,0,0,0.49
0.44,57,0,0,0.44
0.52,58,0,0.52,0
0.44,59,0,0,0.44
0.55,60,0,0.55,0
0.5,61,0,0.5,0
0.48,62,0,0,0.48
0.49,63,0,0,0.49
0.55,64,0,0.55,0
0.44,65,0,0,0.44
0.43,66,0,0,0.43
0.51,67,0,0.51,0
0.35,68,0,0,0.35
0.52,69,0,0.52,0
0.53,70,0,0.53,0
0.47,71,0,0,0.47
0.41,72,0,0,0.41
0.46,73,0,0,0.46
0.51,74,0,0.51,0
0.47,75,0,0,0.47
0.61,76,0,0.61,0
0.49,77,0,0,0.49
0.56,78,0,0.56,0
0.49,79,0,0,0.49
0.5,80,0,0.5,0
0.48,81,0,0,0.48
0.54,82,0,0.54,0
0.48,83,0,0,0.48
0.48,84,0,0,0.48
0.52,85,0,0.52,0
0.52,86,0,0.52,0
0.5,87,0,0.5,0
0.49,88,0,0,0.49
0.48,89,0,0,0.48
0.49,90,0,0,0.49
0.49,91,0,0,0.49
0.52,92,0,0.52,0
0.53,93,0,0.53,0
0.48,94,0,0,0.48
0.49,95,0,0,0.49
0.58,96,0,0.58,0
0.53,97,0,0.53,0
0.53,98,0,0.53,0
0.51,99,0,0.51,0
0.48,100,0,0,0.48
0.57,101,0,0.57,0
0.38,102,0,0,0.38
0.44,103,0,0,0.44
0.57,104,0,0.57,0
0.51,105,0,0.51,0
0.51,106,0,0.51,0
0.56,107,0,0.56,0
0.49,108,0,0,0.49
0.54,109,0,0.54,0
0.55,110,0,0.55,0
0.5,111,0,0.5,0
0.49,112,0,0,0.49
0.4,113,0,0,0.4
0.47,114,0,0,0.47
0.55,115,0,0.55,0
0.5,116,0,0.5,0
0.46,117,0,0,0.46
0.46,118,0,0,0.46
0.41,119,0,0,0.41
0.53,120,0,0.53,0
0.49,121,0,0,0.49
0.58,122,0,0.58,0
0.58,123,0,0.58,0
0.47,124,0,0,0.47
0.5,125,0,0.5,0
0.49,126,0,0,0.49
0.45,127,0,0,0.45
0.44,128,0,0,0.44
0.46,129,0,0,0.46
0.58,130,0,0.58,0
0.54,131,0,0.54,0
0.55,132,0,0.55,0
0.46,133,0,0,0.46
0.5,134,0,0.5,0
0.42,135,0,0,0.42
0.49,136,0,0,0.49
0.42,137,0,0,0.42
0.52,138,0,0.52,0
0.49,139,0,0,0.49
0.46,140,0,0,0.46
0.54,141,0,0.54,0
0.49,142,0,0,0.49
0.57,143,0,0.57,0
0.53,144,0,0.53,0
0.57,145,0,0.57,0
0.5,146,0,0.5,0
0.57,147,0,0.57,0
0.49,148,0,0,0.49
0.48,149,0,0,0.48
0.54,150,0,0.54,0
