,iteration,message_status,probability,strategy
0,0,unsuccessful,0.5,no_windtexter
1,0,unsuccessful,0.4,no_windtexter
2,0,successful,0.8,windtexter_baseline
3,0,unsuccessful,0.2,windtexter_baseline
4,0,successful,0.7,windtexter_baseline
5,0,successful,0.6,windtexter_full
6,0,successful,0.6,windtexter_full
7,0,unsuccessful,0.2,windtexter_full
8,0,unsuccessful,0.1,windtexter_full
9,0,unsuccessful,0.4,windtexter_full
10,1,successful,0.8,no_windtexter
11,1,successful,0.6,no_windtexter
12,1,successful,0.6,windtexter_baseline
13,1,successful,0.7,windtexter_baseline
14,1,unsuccessful,0.5,windtexter_baseline
15,1,unsuccessful,0.5,windtexter_full
16,1,unsuccessful,0.5,windtexter_full
17,1,successful,0.6,windtexter_full
18,1,unsuccessful,0.3,windtexter_full
19,1,unsuccessful,0.1,windtexter_full
20,2,unsuccessful,0.3,no_windtexter
21,2,unsuccessful,0.5,no_windtexter
22,2,unsuccessful,0.2,windtexter_baseline
23,2,unsuccessful,0.5,windtexter_baseline
24,2,successful,0.7,windtexter_baseline
25,2,successful,0.6,windtexter_full
26,2,unsuccessful,0.1,windtexter_full
27,2,unsuccessful,0.5,windtexter_full
28,2,successful,0.6,windtexter_full
29,2,unsuccessful,0.3,windtexter_full
30,3,unsuccessful,0.4,no_windtexter
31,3,unsuccessful,0.4,no_windtexter
32,3,unsuccessful,0.5,windtexter_baseline
33,3,successful,0.6,windtexter_baseline
34,3,unsuccessful,0.3,windtexter_baseline
35,3,unsuccessful,0.5,windtexter_full
36,3,successful,0.6,windtexter_full
37,3,successful,0.6,windtexter_full
38,3,successful,0.8,windtexter_full
39,3,unsuccessful,0.3,windtexter_full
40,4,unsuccessful,0.4,no_windtexter
41,4,successful,0.8,no_windtexter
42,4,unsuccessful,0.2,windtexter_baseline
43,4,successful,0.6,windtexter_baseline
44,4,successful,0.6,windtexter_baseline
45,4,unsuccessful,0.2,windtexter_full
46,4,successful,0.8,windtexter_full
47,4,unsuccessful,0.2,windtexter_full
48,4,unsuccessful,0.5,windtexter_full
49,4,successful,0.8,windtexter_full
50,5,unsuccessful,0.1,no_windtexter
51,5,unsuccessful,0.5,no_windtexter
52,5,unsuccessful,0.4,windtexter_baseline
53,5,successful,0.7,windtexter_baseline
54,5,successful,0.6,windtexter_baseline
55,5,successful,0.6,windtexter_full
56,5,successful,0.6,windtexter_full
57,5,successful,0.6,windtexter_full
58,5,unsuccessful,0.3,windtexter_full
59,5,unsuccessful,0.4,windtexter_full
60,6,successful,0.6,no_windtexter
61,6,successful,0.7,no_windtexter
62,6,successful,0.6,windtexter_baseline
63,6,unsuccessful,0.2,windtexter_baseline
64,6,unsuccessful,0.5,windtexter_baseline
65,6,unsuccessful,0.5,windtexter_full
66,6,successful,0.6,windtexter_full
67,6,unsuccessful,0.4,windtexter_full
68,6,unsuccessful,0.3,windtexter_full
69,6,unsuccessful,0.4,windtexter_full
70,7,unsuccessful,0.3,no_windtexter
71,7,successful,0.6,no_windtexter
72,7,unsuccessful,0.5,windtexter_baseline
73,7,unsuccessful,0.1,windtexter_baseline
74,7,successful,0.6,windtexter_baseline
75,7,unsuccessful,0.4,windtexter_full
76,7,unsuccessful,0.4,windtexter_full
77,7,successful,0.6,windtexter_full
78,7,unsuccessful,0.1,windtexter_full
79,7,unsuccessful,0.3,windtexter_full
80,8,unsuccessful,0.3,no_windtexter
81,8,successful,0.7,no_windtexter
82,8,unsuccessful,0.5,windtexter_baseline
83,8,unsuccessful,0.1,windtexter_baseline
84,8,successful,0.6,windtexter_baseline
85,8,unsuccessful,0.4,windtexter_full
86,8,successful,0.7,windtexter_full
87,8,successful,0.8,windtexter_full
88,8,successful,0.7,windtexter_full
89,8,unsuccessful,0.3,windtexter_full
90,9,successful,0.7,no_windtexter
91,9,unsuccessful,0.4,no_windtexter
92,9,unsuccessful,0.4,windtexter_baseline
93,9,successful,0.6,windtexter_baseline
94,9,unsuccessful,0.5,windtexter_baseline
95,9,unsuccessful,0.5,windtexter_full
96,9,unsuccessful,0.5,windtexter_full
97,9,unsuccessful,0.4,windtexter_full
98,9,unsuccessful,0.3,windtexter_full
99,9,unsuccessful,0.3,windtexter_full
100,10,unsuccessful,0.5,no_windtexter
101,10,successful,0.7,no_windtexter
102,10,successful,0.6,windtexter_baseline
103,10,unsuccessful,0.4,windtexter_baseline
104,10,unsuccessful,0.4,windtexter_baseline
105,10,unsuccessful,0.2,windtexter_full
106,10,successful,0.7,windtexter_full
107,10,unsuccessful,0.5,windtexter_full
108,10,unsuccessful,0.4,windtexter_full
109,10,unsuccessful,0.5,windtexter_full
110,11,unsuccessful,0.2,no_windtexter
