iteration,interception,interception_cost,blocking,message_status,message_block_cost,total_cost,windtexter,application
0,0.8,0.75,0.6,sucessful,3.0,3.75,Baseline,private
0,0.4,42.0,0.8,sucessful,0.75,42.75,Partial,private
0,0.7,0.29,0.4,unsuccessful,14.0,42.75,Full,private
0,0.4,84.0,0.7,sucessful,1.71,85.71,Baseline,commercial
0,0.9,1.33,0.4,unsuccessful,84.0,85.33,Partial,commercial
0,0.9,0.44,0.4,unsuccessful,28.0,85.33,Full,commercial
0,0.6,9.0,0.8,sucessful,2.25,11.25,Baseline,government
0,0.6,9.0,0.7,sucessful,2.57,11.57,Partial,government
0,0.5,13.2,0.5,unsuccessful,13.2,11.57,Full,government
0,0.6,12.0,0.4,unsuccessful,168.0,180.0,Baseline,millitary
0,0.7,3.43,0.7,sucessful,3.43,6.86,Partial,millitary
0,0.4,56.0,0.7,sucessful,1.14,6.86,Full,millitary
1,0.8,0.75,0.6,sucessful,3.0,3.75,Baseline,private
1,0.5,13.2,0.8,sucessful,0.75,13.95,Partial,private
1,0.8,0.25,0.9,sucessful,0.22,13.95,Full,private
1,0.2,432.0,0.4,unsuccessful,84.0,516.0,Baseline,commercial
1,0.8,1.5,0.4,unsuccessful,84.0,85.5,Partial,commercial
1,0.5,8.8,0.8,sucessful,0.5,85.5,Full,commercial
1,0.4,126.0,0.7,sucessful,2.57,128.57,Baseline,government
1,0.8,2.25,0.4,unsuccessful,126.0,128.25,Partial,government
1,0.7,0.86,0.9,sucessful,0.67,128.25,Full,government
1,0.4,168.0,0.3,unsuccessful,408.0,576.0,Baseline,millitary
1,0.7,3.43,0.7,sucessful,3.43,6.86,Partial,millitary
1,0.7,1.14,0.4,unsuccessful,56.0,6.86,Full,millitary
2,0.5,13.2,0.5,unsuccessful,13.2,26.4,Baseline,private
2,0.5,13.2,0.7,sucessful,0.86,14.06,Partial,private
2,0.7,0.29,0.7,sucessful,0.29,14.06,Full,private
2,0.3,204.0,0.4,unsuccessful,84.0,288.0,Baseline,commercial
2,0.8,1.5,0.4,unsuccessful,84.0,85.5,Partial,commercial
2,0.9,0.44,0.8,sucessful,0.5,85.5,Full,commercial
2,0.6,9.0,0.8,sucessful,2.25,11.25,Baseline,government
2,0.8,2.25,0.9,sucessful,2.0,4.25,Partial,government
2,0.5,13.2,0.5,unsuccessful,13.2,4.25,Full,government
2,0.9,2.67,0.4,unsuccessful,168.0,170.67,Baseline,millitary
2,0.7,3.43,0.5,unsuccessful,52.8,56.23,Partial,millitary
2,0.7,1.14,0.9,sucessful,0.89,56.23,Full,millitary
3,0.6,3.0,0.6,sucessful,3.0,6.0,Baseline,private
3,0.8,0.75,0.8,sucessful,0.75,1.5,Partial,private
3,0.9,0.22,0.6,sucessful,1.0,1.5,Full,private
3,0.4,84.0,0.8,sucessful,1.5,85.5,Baseline,commercial
3,0.7,1.71,0.8,sucessful,1.5,3.21,Partial,commercial
3,0.7,0.57,0.8,sucessful,0.5,3.21,Full,commercial
3,0.7,2.57,0.8,sucessful,2.25,4.82,Baseline,government
3,0.9,2.0,0.8,sucessful,2.25,4.25,Partial,government
3,0.7,0.86,0.5,unsuccessful,13.2,4.25,Full,government
3,0.7,3.43,0.5,unsuccessful,52.8,56.23,Baseline,millitary
3,0.8,3.0,0.8,sucessful,3.0,6.0,Partial,millitary
3,0.7,1.14,0.5,unsuccessful,17.6,6.0,Full,millitary
4,0.6,3.0,0.7,sucessful,0.86,3.86,Baseline,private
4,0.4,42.0,0.6,sucessful,3.0,45.0,Partial,private
4,0.5,4.4,0.7,sucessful,0.29,45.0,Full,private
4,0.8,1.5,0.3,unsuccessful,204.0,205.5,Baseline,commercial
4,0.7,1.71,0.9,sucessful,1.33,3.04,Partial,commercial
4,0.7,0.57,0.7,sucessful,0.57,3.04,Full,commercial
4,0.3,306.0,0.7,sucessful,2.57,308.57,Baseline,government
4,0.9,2.0,0.8,sucessful,2.25,4.25,Partial,government
4,0.6,3.0,0.8,sucessful,0.75,4.25,Full,government
4,0.6,12.0,0.8,sucessful,3.0,15.0,Baseline,millitary
4,0.4,168.0,0.5,unsuccessful,52.8,220.8,Partial,millitary
4,0.9,0.89,0.9,sucessful,0.89,220.8,Full,millitary
5,0.5,13.2,0.7,sucessful,0.86,14.06,Baseline,private
5,0.7,0.86,0.7,sucessful,0.86,1.72,Partial,private
5,0.7,0.29,0.7,sucessful,0.29,1.72,Full,private
5,0.7,1.71,0.5,unsuccessful,26.4,28.11,Baseline,commercial
5,0.6,6.0,0.9,sucessful,1.33,7.33,Partial,commercial
5,0.8,0.5,0.4,unsuccessful,28.0,7.33,Full,commercial
5,0.7,2.57,0.7,sucessful,2.57,5.14,Baseline,government
5,0.5,39.6,0.8,sucessful,2.25,41.85,Partial,government
5,0.9,0.67,0.4,unsuccessful,42.0,41.85,Full,government
5,0.4,168.0,0.6,sucessful,12.0,180.0,Baseline,millitary
5,0.8,3.0,0.9,sucessful,2.67,5.67,Partial,millitary
5,0.7,1.14,0.7,sucessful,1.14,5.67,Full,millitary
6,0.7,0.86,0.7,sucessful,0.86,1.72,Baseline,private
6,0.7,0.86,0.7,sucessful,0.86,1.72,Partial,private
6,0.8,0.25,0.5,unsuccessful,4.4,1.72,Full,private
6,0.8,1.5,0.8,sucessful,1.5,3.0,Baseline,commercial
6,0.4,84.0,0.7,sucessful,1.71,85.71,Partial,commercial
6,0.4,28.0,0.4,unsuccessful,28.0,85.71,Full,commercial
6,0.6,9.0,0.5,unsuccessful,39.6,48.6,Baseline,government
6,0.9,2.0,0.6,sucessful,9.0,11.0,Partial,government
6,0.4,42.0,0.9,sucessful,0.67,11.0,Full,government
6,0.6,12.0,0.6,sucessful,12.0,24.0,Baseline,millitary
6,0.5,52.8,0.4,unsuccessful,168.0,220.8,Partial,millitary
6,0.7,1.14,0.5,unsuccessful,17.6,220.8,Full,millitary
7,0.5,13.2,0.7,sucessful,0.86,14.06,Baseline,private
7,0.4,42.0,0.9,sucessful,0.67,42.67,Partial,private
