iteration,windtexter,application,total_cost,probability_type,probability_cost
0,Baseline,private,42.67,interception_cost,0.67
0,Partial,commercial,85.33,interception_cost,1.33
0,Baseline,government,42.17,interception_cost,2.57
0,Full,government,4.57,interception_cost,0.75
0,Baseline,millitary,171.0,interception_cost,3.0
0,Partial,millitary,56.23,interception_cost,3.43
1,Baseline,private,216.75,interception_cost,0.75
1,Baseline,government,48.6,interception_cost,9.0
1,Partial,government,128.25,interception_cost,2.25
1,Full,millitary,6.86,interception_cost,1.14
2,Full,private,1.53,interception_cost,0.29
2,Baseline,millitary,64.8,interception_cost,12.0
2,Full,millitary,15.0,interception_cost,56.0
3,Partial,private,13.95,interception_cost,0.75
3,Baseline,government,315.0,interception_cost,9.0
3,Full,government,135.0,interception_cost,0.67
3,Baseline,millitary,220.8,interception_cost,168.0
3,Full,millitary,6.86,interception_cost,17.6
4,Baseline,private,55.2,interception_cost,13.2
4,Full,private,3.75,interception_cost,0.25
4,Baseline,commercial,85.71,interception_cost,1.71
4,Baseline,government,165.6,interception_cost,39.6
4,Partial,government,42.17,interception_cost,2.57
4,Full,millitary,56.23,interception_cost,1.0
5,Partial,private,55.2,interception_cost,13.2
5,Full,private,55.2,interception_cost,0.25
5,Baseline,government,165.6,interception_cost,126.0
5,Full,millitary,24.0,interception_cost,0.89
6,Baseline,private,42.86,interception_cost,0.86
6,Baseline,commercial,90.0,interception_cost,6.0
6,Partial,government,128.57,interception_cost,2.57
6,Full,millitary,5.67,interception_cost,56.0
7,Baseline,private,16.2,interception_cost,3.0
7,Full,private,1.72,interception_cost,0.22
7,Baseline,commercial,110.4,interception_cost,26.4
7,Full,commercial,3.04,interception_cost,0.44
7,Partial,government,42.17,interception_cost,2.57
7,Full,government,42.17,interception_cost,0.86
7,Baseline,millitary,64.8,interception_cost,12.0
7,Partial,millitary,171.0,interception_cost,3.0
8,Partial,private,42.75,interception_cost,0.75
8,Baseline,commercial,433.5,interception_cost,1.5
8,Full,government,4.0,interception_cost,42.0
8,Baseline,millitary,576.0,interception_cost,168.0
8,Partial,millitary,170.67,interception_cost,2.67
9,Baseline,private,258.0,interception_cost,216.0
9,Partial,commercial,110.4,interception_cost,26.4
9,Baseline,government,165.6,interception_cost,39.6
9,Partial,government,42.17,interception_cost,2.57
9,Baseline,millitary,55.8,interception_cost,3.0
9,Partial,millitary,170.67,interception_cost,2.67
9,Full,millitary,170.67,interception_cost,56.0
10,Baseline,private,144.0,interception_cost,102.0
10,Baseline,commercial,636.0,interception_cost,432.0
10,Full,government,128.25,interception_cost,0.86
11,Baseline,commercial,408.0,interception_cost,204.0
11,Partial,commercial,168.0,interception_cost,84.0
11,Partial,government,165.6,interception_cost,39.6
11,Full,government,165.6,interception_cost,0.67
11,Baseline,millitary,411.43,interception_cost,3.43
11,Partial,millitary,105.6,interception_cost,52.8
12,Baseline,private,13.87,interception_cost,0.67
12,Partial,private,42.86,interception_cost,0.86
12,Full,commercial,28.11,interception_cost,0.57
12,Baseline,government,315.0,interception_cost,9.0
