constellation,category,climate_change,ozone_depletion,resource_depletion,freshwater_ecotixicity,human_toxicity
Kuiper,launcher,595012795.9,40.26969277,146865.1871,3765692024,247.6108105
Kuiper,ait,87278232.09,8.455065994,845.3518747,415859129.6,26.25664416
Kuiper,propellant,258836443.9,12.05780847,1868.207118,924701310.2,82.09370489
Kuiper,scheduling,485150868.1,40.71209018,27550.91438,3344674898,225.7798525
Kuiper,transportation,596332.0885,0.102211235,10.51849324,936461.4005,0.089312019
Kuiper,campaign,305994064.1,42.00500185,1794.204539,1008903428,91.57651386
Kuiper,launching,25262107.2,4683344.4,0,0,0
OneWeb,launcher,893608259.6,62.23635459,249468.1721,5614078610,382.722538
OneWeb,ait,32325271.14,3.131505924,313.0932869,154021899.9,9.724683023
OneWeb,propellant,19378203.99,2.19997646,134.3250098,62280861.96,5.628195203
OneWeb,scheduling,64466609.67,5.756972014,3195.51396,425394806.9,27.99105678
OneWeb,transportation,86572.07616,0.026791027,3.169871489,458632.7734,0.051607458
OneWeb,campaign,113331134.8,15.55740809,664.5201996,373667936.3,33.91722736
OneWeb,launching,5773102.192,63142.8,0,0,0
Starlink,launcher,290566364.3,21.74603442,185361.9891,1550644626,113.3807527
Starlink,ait,119603503.2,11.58657192,1158.445162,569881029.5,35.98132718
Starlink,propellant,122743338.5,14.14725189,851.7881636,395617591,35.66669564
Starlink,scheduling,414029327.8,36.95730308,20554.01542,2734227013,179.9625968
Starlink,transportation,1274333.643,0.264053,61.92850138,3520269.053,0.352734648
Starlink,campaign,419325198.9,57.56240995,2458.724739,1382571364,125.4937412
Starlink,launching,46654494,505951.32,0,0,0
