Author ,Year,Title,Application,Approach,Focus,Amount
arcuri,2020,Cyber attacks on hospitality sector: stock market reaction,Hospitality,Analysis,Economics,1
Hu et al ,2021,Intrusion-Detector-Dependent Distributed Economic Model Predictive Control for Load Frequency Regulation With PEVs Under Cyber Attacks,Energy,Modelling,Economics,1
Haislip,2019,The economic cost of cybersecurity breaches: A broad-based analysis,Finance,Analysis,Economics,1
Chen et al,2020,Cyber-attack detection and resilient operation of nonlinear processes under economic model predictive control,Energy,Simulation,Economics,1
Dagoumas,2019,Assessing the Impact of Cybersecurity Attacks on Power Systems,Energy,Modelling,Economics,1
Zhao,2020,Coordinated Risk Mitigation Strategy For Integrated Energy Systems Under Cyber-Attacks,Energy,Optimization,Economics,1
Welburn,2021,Systemic Cyber Risk and Aggregate Impacts,Finance,Modelling,Economics,1
Li et al,2021,A comprehensive review study of cyber-attacks and cyber security; Emerging trends and recent developments,General,Review,Economics,1
Wang,2018,A new model approach of electrical cyber physical systems considering cyber security,Energy,Simulation,Economics,1
Zou,2019,Fast Distributed Backbone Construction Despite Strong Adversarial Jamming,Communication,Algorithm,Jamming,1
Yu et al,2020,An Interference Suppression Method for Multistatic Radar Based on Noise Subspace Projection,Defense,Empirical,Jamming,1
Xiao et al,2020,Reinforcement Learning-Based Mobile Offloading for Edge Computing Against Jamming and Interference,Communication,Machine Learning,Jamming,1
Xing et al,2021,A cooperative interference resource allocation method based on improved firefly algorithm,Defense,Algorithm,Jamming,1
Dulik et al,2019,Cyber Security Challenges in Future Military Battlefield Information Networks,Defense,Review,Jamming,1
Lu et al,2019,LEAP: A Lightweight Encryption and Authentication Protocol for In-Vehicle Communications,Communication,Algorithm,Jamming,1
Diro et al,2020,Lightweight Authenticated-Encryption Scheme for Internet of Things Based on Publish-Subscribe Communication,Communication,Algorithm,Jamming,1
Kumar et al,2019,JEDI: Many-to-Many End-to-End Encryption and Key Delegation for IoT,Communication,Algorithm,Jamming,1
Algarni,2020,"Encryption of ECG signals for telemedicine applications,” Multimed",Healthcare,Algorithm,Jamming,1
Alloghani et al,2019,A systematic review on the status and progress of homomorphic encryption technologies,Communication,Review,Jamming,1
Imran et al,2020,Implementation of El-Gamal algorithm for speech signals encryption and decryption,Communication,Algorithm,Jamming,1
