iteration,interception_probability,interception_cost,block_probability,message_status,message_block_cost,total_cost,windtexter
0,0.7,4000,0.9,sucessful,2000,6000.0,Baseline
0,0.7,4000,0.4,unsuccessful,7000,11000.0,Partial
0,0.9,2000,0.8,sucessful,3000,2500.0,Full
1,0.2,9000,0.6,sucessful,5000,14000.0,Baseline
1,0.5,6000,0.7,sucessful,4000,10000.0,Partial
1,0.9,2000,0.9,sucessful,2000,2000.0,Full
2,0.3,8000,0.6,sucessful,5000,13000.0,Baseline
2,0.4,7000,0.5,unsuccessful,6000,13000.0,Partial
2,0.8,3000,0.8,sucessful,3000,3000.0,Full
3,0.6,5000,0.7,sucessful,4000,9000.0,Baseline
3,0.9,2000,0.7,sucessful,4000,6000.0,Partial
3,0.9,2000,0.8,sucessful,3000,2500.0,Full
4,0.9,2000,0.9,sucessful,2000,4000.0,Baseline
4,0.4,7000,0.7,sucessful,4000,11000.0,Partial
4,0.8,3000,0.8,sucessful,3000,3000.0,Full
5,0.7,4000,0.5,unsuccessful,6000,10000.0,Baseline
5,0.5,6000,0.8,sucessful,3000,9000.0,Partial
5,0.9,2000,0.9,sucessful,2000,2000.0,Full
6,0.6,5000,0.9,sucessful,2000,7000.0,Baseline
6,0.7,4000,0.9,sucessful,2000,6000.0,Partial
6,0.9,2000,0.8,sucessful,3000,2500.0,Full
7,0.5,6000,0.3,unsuccessful,8000,14000.0,Baseline
7,0.7,4000,0.8,sucessful,3000,7000.0,Partial
7,0.8,3000,0.9,sucessful,2000,2500.0,Full
8,0.8,3000,0.6,sucessful,5000,8000.0,Baseline
8,0.9,2000,0.6,sucessful,5000,7000.0,Partial
8,0.6,5000,0.9,sucessful,2000,3500.0,Full
9,0.6,5000,0.9,sucessful,2000,7000.0,Baseline
9,0.7,4000,0.4,unsuccessful,7000,11000.0,Partial
9,0.9,2000,0.9,sucessful,2000,2000.0,Full
10,0.6,5000,0.6,sucessful,5000,10000.0,Baseline
10,0.4,7000,0.5,unsuccessful,6000,13000.0,Partial
10,0.8,3000,0.9,sucessful,2000,2500.0,Full
11,0.9,2000,0.7,sucessful,4000,6000.0,Baseline
11,0.4,7000,0.5,unsuccessful,6000,13000.0,Partial
11,0.9,2000,0.9,sucessful,2000,2000.0,Full
12,0.4,7000,0.8,sucessful,3000,10000.0,Baseline
12,0.7,4000,0.7,sucessful,4000,8000.0,Partial
12,0.8,3000,0.6,sucessful,5000,4000.0,Full
13,0.9,2000,0.5,unsuccessful,6000,8000.0,Baseline
13,0.9,2000,0.4,unsuccessful,7000,9000.0,Partial
13,0.9,2000,0.9,sucessful,2000,2000.0,Full
14,0.6,5000,0.6,sucessful,5000,10000.0,Baseline
14,0.7,4000,0.4,unsuccessful,7000,11000.0,Partial
14,0.9,2000,0.9,sucessful,2000,2000.0,Full
15,0.4,7000,0.8,sucessful,3000,10000.0,Baseline
15,0.4,7000,0.4,unsuccessful,7000,14000.0,Partial
15,0.9,2000,0.9,sucessful,2000,2000.0,Full
16,0.7,4000,0.8,sucessful,3000,7000.0,Baseline
16,0.7,4000,0.4,unsuccessful,7000,11000.0,Partial
16,0.8,3000,0.9,sucessful,2000,2500.0,Full
17,0.6,5000,0.6,sucessful,5000,10000.0,Baseline
17,0.7,4000,0.9,sucessful,2000,6000.0,Partial
17,0.9,2000,0.9,sucessful,2000,2000.0,Full
18,0.6,5000,0.4,unsuccessful,7000,12000.0,Baseline
18,0.7,4000,0.9,sucessful,2000,6000.0,Partial
18,0.8,3000,0.8,sucessful,3000,3000.0,Full
19,0.3,8000,0.5,unsuccessful,6000,14000.0,Baseline
19,0.7,4000,0.7,sucessful,4000,8000.0,Partial
19,0.9,2000,0.9,sucessful,2000,2000.0,Full
20,0.8,3000,0.6,sucessful,5000,8000.0,Baseline
20,0.4,7000,0.4,unsuccessful,7000,14000.0,Partial
20,0.8,3000,0.9,sucessful,2000,2500.0,Full
21,0.8,3000,0.5,unsuccessful,6000,9000.0,Baseline
21,0.9,2000,0.6,sucessful,5000,7000.0,Partial
21,0.9,2000,0.8,sucessful,3000,2500.0,Full
22,0.6,5000,0.6,sucessful,5000,10000.0,Baseline
22,0.9,2000,0.7,sucessful,4000,6000.0,Partial
22,0.9,2000,0.9,sucessful,2000,2000.0,Full
23,0.5,6000,0.3,unsuccessful,8000,14000.0,Baseline
23,0.9,2000,0.8,sucessful,3000,5000.0,Partial
23,0.8,3000,0.9,sucessful,2000,2500.0,Full
24,0.7,4000,0.5,unsuccessful,6000,10000.0,Baseline
24,0.8,3000,0.7,sucessful,4000,7000.0,Partial
24,0.9,2000,0.9,sucessful,2000,2000.0,Full
25,0.6,5000,0.5,unsuccessful,6000,11000.0,Baseline
25,0.5,6000,0.7,sucessful,4000,10000.0,Partial
25,0.9,2000,0.8,sucessful,3000,2500.0,Full
26,0.4,7000,0.8,sucessful,3000,10000.0,Baseline
26,0.4,7000,0.7,sucessful,4000,11000.0,Partial
26,0.9,2000,0.8,sucessful,3000,2500.0,Full
27,0.7,4000,0.7,sucessful,4000,8000.0,Baseline
27,0.7,4000,0.7,sucessful,4000,8000.0,Partial
27,0.8,3000,0.9,sucessful,2000,2500.0,Full
28,0.4,7000,0.5,unsuccessful,6000,13000.0,Baseline
28,0.8,3000,0.7,sucessful,4000,7000.0,Partial
28,0.8,3000,0.8,sucessful,3000,3000.0,Full
29,0.6,5000,0.6,sucessful,5000,10000.0,Baseline
29,0.8,3000,0.8,sucessful,3000,6000.0,Partial
29,0.9,2000,0.8,sucessful,3000,2500.0,Full
30,0.6,5000,0.6,sucessful,5000,10000.0,Baseline
30,0.5,6000,0.9,sucessful,2000,8000.0,Partial
30,0.8,3000,0.8,sucessful,3000,3000.0,Full
31,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
31,0.7,4000,0.7,sucessful,4000,8000.0,Partial
31,0.8,3000,0.9,sucessful,2000,2500.0,Full
32,0.6,5000,0.6,sucessful,5000,10000.0,Baseline
32,0.8,3000,0.9,sucessful,2000,5000.0,Partial
32,0.9,2000,0.9,sucessful,2000,2000.0,Full
33,0.4,7000,0.6,sucessful,5000,12000.0,Baseline
33,0.9,2000,0.9,sucessful,2000,4000.0,Partial
33,0.8,3000,0.9,sucessful,2000,2500.0,Full
34,0.4,7000,0.9,sucessful,2000,9000.0,Baseline
34,0.7,4000,0.5,unsuccessful,6000,10000.0,Partial
34,0.9,2000,0.8,sucessful,3000,2500.0,Full
35,0.9,2000,0.7,sucessful,4000,6000.0,Baseline
35,0.9,2000,0.8,sucessful,3000,5000.0,Partial
35,0.8,3000,0.9,sucessful,2000,2500.0,Full
36,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
36,0.5,6000,0.9,sucessful,2000,8000.0,Partial
36,0.9,2000,0.9,sucessful,2000,2000.0,Full
37,0.6,5000,0.8,sucessful,3000,8000.0,Baseline
37,0.4,7000,0.8,sucessful,3000,10000.0,Partial
37,0.8,3000,0.9,sucessful,2000,2500.0,Full
38,0.7,4000,0.3,unsuccessful,8000,12000.0,Baseline
38,0.6,5000,0.4,unsuccessful,7000,12000.0,Partial
38,0.7,4000,0.9,sucessful,2000,3000.0,Full
39,0.8,3000,0.7,sucessful,4000,7000.0,Baseline
39,0.7,4000,0.6,sucessful,5000,9000.0,Partial
39,0.9,2000,0.8,sucessful,3000,2500.0,Full
40,0.6,5000,0.7,sucessful,4000,9000.0,Baseline
40,0.4,7000,0.4,unsuccessful,7000,14000.0,Partial
40,0.9,2000,0.9,sucessful,2000,2000.0,Full
41,0.4,7000,0.7,sucessful,4000,11000.0,Baseline
41,0.8,3000,0.9,sucessful,2000,5000.0,Partial
41,0.7,4000,0.9,sucessful,2000,3000.0,Full
42,0.7,4000,0.7,sucessful,4000,8000.0,Baseline
42,0.8,3000,0.4,unsuccessful,7000,10000.0,Partial
42,0.8,3000,0.9,sucessful,2000,2500.0,Full
43,0.4,7000,0.5,unsuccessful,6000,13000.0,Baseline
43,0.7,4000,0.7,sucessful,4000,8000.0,Partial
43,0.9,2000,0.8,sucessful,3000,2500.0,Full
44,0.4,7000,0.6,sucessful,5000,12000.0,Baseline
44,0.8,3000,0.7,sucessful,4000,7000.0,Partial
44,0.9,2000,0.9,sucessful,2000,2000.0,Full
45,0.4,7000,0.8,sucessful,3000,10000.0,Baseline
45,0.8,3000,0.4,unsuccessful,7000,10000.0,Partial
45,0.8,3000,0.9,sucessful,2000,2500.0,Full
46,0.3,8000,0.7,sucessful,4000,12000.0,Baseline
46,0.8,3000,0.5,unsuccessful,6000,9000.0,Partial
46,0.9,2000,0.9,sucessful,2000,2000.0,Full
47,0.3,8000,0.6,sucessful,5000,13000.0,Baseline
47,0.7,4000,0.4,unsuccessful,7000,11000.0,Partial
47,0.9,2000,0.9,sucessful,2000,2000.0,Full
48,0.5,6000,0.4,unsuccessful,7000,13000.0,Baseline
48,0.7,4000,0.7,sucessful,4000,8000.0,Partial
48,0.9,2000,0.9,sucessful,2000,2000.0,Full
49,0.5,6000,0.3,unsuccessful,8000,14000.0,Baseline
49,0.4,7000,0.5,unsuccessful,6000,13000.0,Partial
49,0.9,2000,0.8,sucessful,3000,2500.0,Full
50,0.7,4000,0.8,sucessful,3000,7000.0,Baseline
50,0.7,4000,0.5,unsuccessful,6000,10000.0,Partial
50,0.7,4000,0.9,sucessful,2000,3000.0,Full
51,0.8,3000,0.2,unsuccessful,9000,12000.0,Baseline
51,0.7,4000,0.9,sucessful,2000,6000.0,Partial
51,0.9,2000,0.9,sucessful,2000,2000.0,Full
52,0.8,3000,0.7,sucessful,4000,7000.0,Baseline
52,0.7,4000,0.5,unsuccessful,6000,10000.0,Partial
52,0.9,2000,0.9,sucessful,2000,2000.0,Full
53,0.3,8000,0.5,unsuccessful,6000,14000.0,Baseline
53,0.6,5000,0.5,unsuccessful,6000,11000.0,Partial
53,0.8,3000,0.9,sucessful,2000,2500.0,Full
54,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
54,0.4,7000,0.7,sucessful,4000,11000.0,Partial
54,0.6,5000,0.8,sucessful,3000,4000.0,Full
55,0.6,5000,0.4,unsuccessful,7000,12000.0,Baseline
55,0.9,2000,0.9,sucessful,2000,4000.0,Partial
55,0.6,5000,0.8,sucessful,3000,4000.0,Full
56,0.9,2000,0.4,unsuccessful,7000,9000.0,Baseline
56,0.4,7000,0.5,unsuccessful,6000,13000.0,Partial
56,0.6,5000,0.8,sucessful,3000,4000.0,Full
57,0.7,4000,0.5,unsuccessful,6000,10000.0,Baseline
57,0.7,4000,0.9,sucessful,2000,6000.0,Partial
57,0.8,3000,0.9,sucessful,2000,2500.0,Full
58,0.6,5000,0.7,sucessful,4000,9000.0,Baseline
58,0.7,4000,0.5,unsuccessful,6000,10000.0,Partial
58,0.9,2000,0.8,sucessful,3000,2500.0,Full
59,0.3,8000,0.9,sucessful,2000,10000.0,Baseline
59,0.7,4000,0.8,sucessful,3000,7000.0,Partial
59,0.9,2000,0.9,sucessful,2000,2000.0,Full
60,0.9,2000,0.9,sucessful,2000,4000.0,Baseline
60,0.6,5000,0.6,sucessful,5000,10000.0,Partial
60,0.6,5000,0.9,sucessful,2000,3500.0,Full
61,0.4,7000,0.6,sucessful,5000,12000.0,Baseline
61,0.9,2000,0.4,unsuccessful,7000,9000.0,Partial
61,0.9,2000,0.9,sucessful,2000,2000.0,Full
62,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
62,0.9,2000,0.8,sucessful,3000,5000.0,Partial
62,0.9,2000,0.9,sucessful,2000,2000.0,Full
63,0.8,3000,0.4,unsuccessful,7000,10000.0,Baseline
63,0.7,4000,0.9,sucessful,2000,6000.0,Partial
63,0.8,3000,0.9,sucessful,2000,2500.0,Full
64,0.5,6000,0.5,unsuccessful,6000,12000.0,Baseline
64,0.7,4000,0.7,sucessful,4000,8000.0,Partial
64,0.8,3000,0.9,sucessful,2000,2500.0,Full
65,0.3,8000,0.7,sucessful,4000,12000.0,Baseline
65,0.5,6000,0.9,sucessful,2000,8000.0,Partial
65,0.6,5000,0.8,sucessful,3000,4000.0,Full
66,0.8,3000,0.4,unsuccessful,7000,10000.0,Baseline
66,0.4,7000,0.5,unsuccessful,6000,13000.0,Partial
66,0.9,2000,0.8,sucessful,3000,2500.0,Full
67,0.9,2000,0.7,sucessful,4000,6000.0,Baseline
67,0.8,3000,0.5,unsuccessful,6000,9000.0,Partial
67,0.8,3000,0.9,sucessful,2000,2500.0,Full
68,0.5,6000,0.6,sucessful,5000,11000.0,Baseline
68,0.5,6000,0.7,sucessful,4000,10000.0,Partial
68,0.9,2000,0.8,sucessful,3000,2500.0,Full
69,0.7,4000,0.7,sucessful,4000,8000.0,Baseline
69,0.6,5000,0.7,sucessful,4000,9000.0,Partial
69,0.9,2000,0.9,sucessful,2000,2000.0,Full
70,0.9,2000,0.6,sucessful,5000,7000.0,Baseline
70,0.7,4000,0.5,unsuccessful,6000,10000.0,Partial
70,0.9,2000,0.8,sucessful,3000,2500.0,Full
71,0.7,4000,0.7,sucessful,4000,8000.0,Baseline
71,0.4,7000,0.7,sucessful,4000,11000.0,Partial
71,0.9,2000,0.9,sucessful,2000,2000.0,Full
72,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
72,0.7,4000,0.6,sucessful,5000,9000.0,Partial
72,0.8,3000,0.8,sucessful,3000,3000.0,Full
73,0.6,5000,0.8,sucessful,3000,8000.0,Baseline
73,0.9,2000,0.5,unsuccessful,6000,8000.0,Partial
73,0.9,2000,0.8,sucessful,3000,2500.0,Full
74,0.4,7000,0.6,sucessful,5000,12000.0,Baseline
74,0.7,4000,0.4,unsuccessful,7000,11000.0,Partial
74,0.7,4000,0.9,sucessful,2000,3000.0,Full
75,0.4,7000,0.6,sucessful,5000,12000.0,Baseline
75,0.4,7000,0.7,sucessful,4000,11000.0,Partial
75,0.8,3000,0.9,sucessful,2000,2500.0,Full
76,0.9,2000,0.5,unsuccessful,6000,8000.0,Baseline
76,0.7,4000,0.7,sucessful,4000,8000.0,Partial
76,0.7,4000,0.9,sucessful,2000,3000.0,Full
77,0.7,4000,0.5,unsuccessful,6000,10000.0,Baseline
77,0.8,3000,0.8,sucessful,3000,6000.0,Partial
77,0.9,2000,0.9,sucessful,2000,2000.0,Full
78,0.3,8000,0.6,sucessful,5000,13000.0,Baseline
78,0.4,7000,0.9,sucessful,2000,9000.0,Partial
78,0.8,3000,0.9,sucessful,2000,2500.0,Full
79,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
79,0.9,2000,0.7,sucessful,4000,6000.0,Partial
79,0.9,2000,0.8,sucessful,3000,2500.0,Full
80,0.7,4000,0.3,unsuccessful,8000,12000.0,Baseline
80,0.4,7000,0.7,sucessful,4000,11000.0,Partial
80,0.9,2000,0.9,sucessful,2000,2000.0,Full
81,0.8,3000,0.5,unsuccessful,6000,9000.0,Baseline
81,0.8,3000,0.7,sucessful,4000,7000.0,Partial
81,0.9,2000,0.9,sucessful,2000,2000.0,Full
82,0.7,4000,0.6,sucessful,5000,9000.0,Baseline
82,0.7,4000,0.9,sucessful,2000,6000.0,Partial
82,0.7,4000,0.8,sucessful,3000,3500.0,Full
83,0.3,8000,0.8,sucessful,3000,11000.0,Baseline
83,0.5,6000,0.7,sucessful,4000,10000.0,Partial
83,0.8,3000,0.9,sucessful,2000,2500.0,Full
84,0.4,7000,0.5,unsuccessful,6000,13000.0,Baseline
84,0.4,7000,0.5,unsuccessful,6000,13000.0,Partial
84,0.8,3000,0.9,sucessful,2000,2500.0,Full
85,0.5,6000,0.7,sucessful,4000,10000.0,Baseline
85,0.5,6000,0.9,sucessful,2000,8000.0,Partial
85,0.9,2000,0.9,sucessful,2000,2000.0,Full
86,0.6,5000,0.9,sucessful,2000,7000.0,Baseline
86,0.5,6000,0.7,sucessful,4000,10000.0,Partial
86,0.9,2000,0.7,sucessful,4000,3000.0,Full
87,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
87,0.6,5000,0.9,sucessful,2000,7000.0,Partial
87,0.9,2000,0.9,sucessful,2000,2000.0,Full
88,0.3,8000,0.3,unsuccessful,8000,16000.0,Baseline
88,0.6,5000,0.7,sucessful,4000,9000.0,Partial
88,0.9,2000,0.8,sucessful,3000,2500.0,Full
89,0.9,2000,0.8,sucessful,3000,5000.0,Baseline
89,0.6,5000,0.8,sucessful,3000,8000.0,Partial
89,0.9,2000,0.9,sucessful,2000,2000.0,Full
90,0.7,4000,0.4,unsuccessful,7000,11000.0,Baseline
90,0.4,7000,0.4,unsuccessful,7000,14000.0,Partial
90,0.8,3000,0.9,sucessful,2000,2500.0,Full
91,0.5,6000,0.9,sucessful,2000,8000.0,Baseline
91,0.9,2000,0.9,sucessful,2000,4000.0,Partial
91,0.7,4000,0.9,sucessful,2000,3000.0,Full
92,0.7,4000,0.7,sucessful,4000,8000.0,Baseline
92,0.9,2000,0.8,sucessful,3000,5000.0,Partial
92,0.9,2000,0.9,sucessful,2000,2000.0,Full
93,0.4,7000,0.3,unsuccessful,8000,15000.0,Baseline
93,0.9,2000,0.5,unsuccessful,6000,8000.0,Partial
93,0.8,3000,0.7,sucessful,4000,3500.0,Full
94,0.3,8000,0.5,unsuccessful,6000,14000.0,Baseline
94,0.7,4000,0.5,unsuccessful,6000,10000.0,Partial
94,0.8,3000,0.9,sucessful,2000,2500.0,Full
95,0.6,5000,0.4,unsuccessful,7000,12000.0,Baseline
95,0.5,6000,0.7,sucessful,4000,10000.0,Partial
95,0.9,2000,0.8,sucessful,3000,2500.0,Full
96,0.9,2000,0.9,sucessful,2000,4000.0,Baseline
96,0.4,7000,0.7,sucessful,4000,11000.0,Partial
96,0.8,3000,0.9,sucessful,2000,2500.0,Full
97,0.3,8000,0.4,unsuccessful,7000,15000.0,Baseline
97,0.7,4000,0.9,sucessful,2000,6000.0,Partial
97,0.9,2000,0.9,sucessful,2000,2000.0,Full
98,0.5,6000,0.7,sucessful,4000,10000.0,Baseline
98,0.8,3000,0.9,sucessful,2000,5000.0,Partial
98,0.7,4000,0.9,sucessful,2000,3000.0,Full
99,0.7,4000,0.2,unsuccessful,9000,13000.0,Baseline
99,0.7,4000,0.8,sucessful,3000,7000.0,Partial
99,0.6,5000,0.7,sucessful,4000,4500.0,Full
100,0.4,7000,0.8,sucessful,3000,10000.0,Baseline
100,0.7,4000,0.4,unsuccessful,7000,11000.0,Partial
100,0.9,2000,0.9,sucessful,2000,2000.0,Full
101,0.5,6000,0.5,unsuccessful,6000,12000.0,Baseline
101,0.7,4000,0.6,sucessful,5000,9000.0,Partial
101,0.9,2000,0.9,sucessful,2000,2000.0,Full
102,0.6,5000,0.4,unsuccessful,7000,12000.0,Baseline
102,0.8,3000,0.4,unsuccessful,7000,10000.0,Partial
102,0.9,2000,0.9,sucessful,2000,2000.0,Full
103,0.7,4000,0.4,unsuccessful,7000,11000.0,Baseline
103,0.9,2000,0.7,sucessful,4000,6000.0,Partial
103,0.8,3000,0.8,sucessful,3000,3000.0,Full
104,0.9,2000,0.5,unsuccessful,6000,8000.0,Baseline
104,0.5,6000,0.9,sucessful,2000,8000.0,Partial
104,0.8,3000,0.9,sucessful,2000,2500.0,Full
105,0.5,6000,0.2,unsuccessful,9000,15000.0,Baseline
105,0.8,3000,0.7,sucessful,4000,7000.0,Partial
105,0.8,3000,0.9,sucessful,2000,2500.0,Full
106,0.6,5000,0.5,unsuccessful,6000,11000.0,Baseline
106,0.4,7000,0.7,sucessful,4000,11000.0,Partial
106,0.9,2000,0.9,sucessful,2000,2000.0,Full
107,0.8,3000,0.8,sucessful,3000,6000.0,Baseline
107,0.4,7000,0.4,unsuccessful,7000,14000.0,Partial
107,0.8,3000,0.9,sucessful,2000,2500.0,Full
108,0.5,6000,0.4,unsuccessful,7000,13000.0,Baseline
108,0.5,6000,0.8,sucessful,3000,9000.0,Partial
108,0.9,2000,0.8,sucessful,3000,2500.0,Full
109,0.9,2000,0.3,unsuccessful,8000,10000.0,Baseline
109,0.9,2000,0.8,sucessful,3000,5000.0,Partial
109,0.9,2000,0.9,sucessful,2000,2000.0,Full
110,0.9,2000,0.5,unsuccessful,6000,8000.0,Baseline
110,0.6,5000,0.8,sucessful,3000,8000.0,Partial
110,0.9,2000,0.9,sucessful,2000,2000.0,Full
111,0.2,9000,0.6,sucessful,5000,14000.0,Baseline
111,0.8,3000,0.4,unsuccessful,7000,10000.0,Partial
111,0.9,2000,0.8,sucessful,3000,2500.0,Full
112,0.8,3000,0.9,sucessful,2000,5000.0,Baseline
112,0.6,5000,0.7,sucessful,4000,9000.0,Partial
112,0.8,3000,0.9,sucessful,2000,2500.0,Full
113,0.6,5000,0.7,sucessful,4000,9000.0,Baseline
113,0.6,5000,0.4,unsuccessful,7000,12000.0,Partial
